Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,NumHead,Sampling,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
transformer,rw,pure,AvgAgg,-,2,sm,1,4,-1,0.7417654808959157,0.7315902258131772,0.8035,0.7920157713159192,0.797716554976421,1.0145,0.7899721448467967,0.7516565067585476,0.7703381773733534,1.050974930362117,0.5935,0.6638702460850112,0.6267159450897571,0.894,1
transformer,rw,RankQ,PrevQ,-,1,sm,1,4,-1,0.5938756974179318,0.5726534497035511,0.49,0.5417357656163626,0.5145707534786033,0.9045,0.6768276234151606,0.6451529956286963,0.6606108478146393,1.0490963042891825,0.544,0.5415629666500746,0.5427787478174109,1.0045,1
transformer,rw,sum,AvgAgg,-,2,sm,1,4,-1,0.7666666666666667,0.7510508386720343,0.8425,0.8019990480723465,0.8217507924896367,1.0505,0.8470752089136491,0.7516065249629263,0.7964903090623363,1.1270194986072424,0.5465,0.7574497574497574,0.63491141446413,0.7215,1
transformer,rw,sum,pure,partial,2,sm,1,4,-1,0.511725955204216,0.4009808055168971,0.7745,0.38351076999257244,0.5129988408676933,2.0195,0.6381615598885794,0.6566351390083118,0.6472665630738804,0.971866295264624,0.022,0.7096774193548387,0.042677012609117354,0.031,1
gat,rw,sum,-,-,2,sm,1,4,-1,0.48155467720685113,0.2954957112406033,0.0035,0.5,0.006951340615690169,0.007,0.9206128133704735,0.49894323671497587,0.6471509692578814,1.845125348189415,0.1715,0.3602941176470588,0.23238482384823847,0.476,1
transformer,rw,pure,AvgAggRes,-,2,sm,1,4,-1,0.6957839262187089,0.694207957085998,0.744,0.8175824175824176,0.7790575916230366,0.91,0.7133704735376044,0.7100083171610757,0.7116854244824232,1.0047353760445683,0.616,0.56957928802589,0.5918808551525343,1.0815,1
gat,rw,-,-,-,2,sm,1,4,-1,0.5114624505928854,0.4437220460353093,0.3215,0.49499615088529636,0.38981509548347987,0.6495,0.7635097493036211,0.5451471758154336,0.6361104664655373,1.4005571030640669,0.249,0.39429928741092635,0.3052405761569108,0.6315,1
transformer,rw,pure,pure,-,2,sm,1,4,-1,0.5325029194239004,0.49679186946013815,0.366,0.43211334120425027,0.39631835408770977,0.847,0.6795252225519288,0.5714609800362976,0.6208256315465188,1.1891016994874561,0.4265,0.5314641744548286,0.47323162274618585,0.8025,1
transformer,rw,RankQ,PrevQ,partial,2,sm,1,4,-1,0.5444401193719994,0.5186701680756359,0.4565,0.45764411027568924,0.4570713391739674,0.9975,0.6360938764499595,0.630987423066631,0.6335303600214938,1.0080927974103049,0.4625,0.46835443037974683,0.4654088050314466,0.9875,1
hnhn,rw,-,-,-,2,sm,1,4,-1,0.5028985507246376,0.4901206200346791,0.57,0.5290023201856149,0.5487364620938627,1.0775,0.537883008356546,0.5783168613357292,0.5573675855101747,0.93008356545961,0.373,0.35591603053435117,0.3642578125,1.048,1
transformer,rw,RankQ,AvgAggRes,-,2,sm,1,4,-1,0.7546772068511199,0.7524896765157707,0.842,0.8267059401080019,0.8342828833292049,1.0185,0.7484679665738162,0.786132241076653,0.7668378995433791,0.9520891364902507,0.6785,0.6355971896955503,0.656348246674728,1.0675,1
transformer,rw,RankQ,AvgAgg,partial,2,sm,1,4,-1,0.6318840579710145,0.5847897805864906,0.592,0.6284501061571125,0.6096807415036045,0.942,0.8194986072423398,0.6559643255295429,0.7286687306501548,1.2493036211699164,0.335,0.5487305487305487,0.4160198696057125,0.6105,1
transformer,rw,pure,pure,partial,2,sm,1,4,-1,0.4774703557312253,0.3683480614001539,0.6715,0.38736659936544565,0.49131150539601254,1.7335,0.6292479108635097,0.5601289362757252,0.5926800472255017,1.1233983286908078,0.011,0.24444444444444444,0.021052631578947368,0.045,1
transformer,rw,sum,AvgAggRes,-,2,sm,1,4,-1,0.7466403162055336,0.7381506949179147,0.8555,0.7866666666666666,0.8196407185628742,1.0875,0.7707520891364903,0.7620490223079042,0.766375848220468,1.0114206128133705,0.5945,0.6664798206278026,0.6284355179704016,0.892,1
transformer,rw,RankQ,pure,-,2,sm,1,4,-1,0.7440052700922266,0.7275380641455397,0.8005,0.7660287081339713,0.782885085574572,1.045,0.8295264623955432,0.7329559438838297,0.7782568927218084,1.1317548746518107,0.534,0.7432150313152401,0.6214722141402387,0.7185,1
