Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
transformer,adj,pure,AvgAgg,-,2,sm,1,0.5828722002635046,0.5429368868177583,0.3945,0.5177165354330708,0.44778660612939836,0.762,0.7557103064066852,0.6195478419730532,0.6808884427155227,1.2197771587743733,0.461,0.5465323058684054,0.5001356116083537,0.8435,6
transformer,adj,sum,AvgAgg,-,2,sm,1,0.6042160737812912,0.5676548133435618,0.3895,0.5698610095098756,0.4627264627264627,0.6835,0.7671309192200557,0.6259090909090909,0.6893617021276596,1.2256267409470751,0.5265,0.5776193088315963,0.550876275176563,0.9115,3
transformer,adj,sum,pure,partial,2,sm,1,0.5281949934123847,0.4339538252528002,0.1935,0.43385650224215244,0.2676348547717842,0.446,0.8373259052924791,0.5895273583055501,0.6919093106226264,1.42033426183844,0.308,0.38524077548467794,0.34231731036399005,0.7995,1
gat,adj,sum,-,-,2,sm,1,0.5,0.38197874210856836,0.1925,0.38615847542627885,0.2569235902569236,0.4985,0.8635097493036211,0.5070330389270526,0.638911788953009,1.7030640668523678,0.155,0.6471816283924844,0.25010084711577246,0.2395,5
transformer,adj,pure,AvgAggRes,-,2,sm,1,0.5303030303030303,0.4460345567368374,0.265,0.5150631681243926,0.3499504787058435,0.5145,0.8373259052924791,0.5289459792363188,0.6483338725331607,1.583008356545961,0.2445,0.5569476082004556,0.339819318971508,0.439,1
gat,adj,-,-,-,2,sm,1,0.49960474308300395,0.40123252068318277,0.1915,0.3932238193018481,0.25756556825823806,0.487,0.826740947075209,0.5102286401925391,0.6310194535983842,1.6203342618384402,0.2205,0.5519399249061326,0.315112540192926,0.3995,4
transformer,adj,pure,pure,-,2,sm,1,0.3894598155467721,0.38246997192830606,0.7975,0.3076181292189007,0.4439805149617258,2.5925,0.18690807799442896,0.6122262773722628,0.28638497652582157,0.3052924791086351,0.345,0.5271199388846448,0.4170444242973708,0.6545,6
hnhn,adj,-,-,-,2,sm,1,0.46389986824769436,0.4217965999689703,0.298,0.3549731983323407,0.3240010872519707,0.8395,0.6284122562674095,0.5289566236811254,0.5744112030553787,1.1880222841225627,0.3345,0.40643985419198053,0.3669775095995612,0.823,4
transformer,adj,RankQ,AvgAggRes,-,2,sm,1,0.6046113306982872,0.5797097785215403,0.492,0.5359477124183006,0.5130344108446299,0.918,0.716991643454039,0.6477101157523906,0.6805922792173454,1.1069637883008356,0.5155,0.5792134831460675,0.5455026455026456,0.89,1
transformer,adj,pure,pure,partial,2,sm,1,0.46561264822134385,0.2932273535031947,0.002,0.2857142857142857,0.003972194637537239,0.007,0.8749303621169916,0.4825626056229836,0.6220417863154768,1.813091922005571,0.1945,0.36457357075913777,0.25366807955656995,0.5335,1
transformer,adj,sum,AvgAggRes,-,2,sm,1,0.5967061923583663,0.5662097765279507,0.4775,0.5392433653303218,0.5064969504110315,0.8855,0.7415041782729805,0.6213818860877685,0.6761493522987047,1.1933147632311978,0.456,0.5941368078175896,0.515983026874116,0.7675,1
transformer,adj,RankQ,pure,-,2,sm,1,0.607905138339921,0.5596485961514975,0.372,0.5835294117647059,0.4543511450381679,0.6375,0.824791086350975,0.6138059701492538,0.7038269550748752,1.3437325905292479,0.4545,0.6096579476861167,0.5207676883414495,0.7455,5
transformer,rw,sum,pure,-,2,sm,1,0.7357048748353097,0.7157005239909244,0.758,0.7629592350276799,0.7604715324805619,0.9935,0.8454038997214485,0.7219314938154139,0.7788042083654093,1.1710306406685236,0.5165,0.7383845604002859,0.607825831126802,0.6995,5
transformer,rw,RankQ,AvgAgg,-,2,sm,1,0.7681159420289855,0.751284592557652,0.806,0.8262429523321374,0.8159959503923059,0.9755,0.873816155988858,0.7388130004710316,0.8006636038795304,1.1827298050139277,0.5405,0.7760229720028715,0.63719422340112,0.6965,16
transformer,rw,RankQ,PrevQ,-,2,sm,1,0.6037368625924484,0.537213898447877,0.319,0.6018867924528302,0.41699346405228765,0.53,0.8764499595360129,0.5879478827361564,0.7037799198527023,1.4906932829781494,0.383,0.6833184656556646,0.4908683114386414,0.5605,1
transformer,rw,pure,AvgAgg,-,2,sm,1,0.7303030303030303,0.7194979843188194,0.8145,0.7569702602230484,0.7846820809248556,1.076,0.7715877437325905,0.7428264950388844,0.7569340073780572,1.0387186629526461,0.572,0.6693973083674664,0.6168778646535453,0.8545,16
